date,city_hmo,city_nog,city_obr,HQprcp_hmo,HQprcp_nog,HQprcp_obr,prcp_hmo,prcp_nog,prcp_obr
2021-04-28,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,1.7000000000000002,0.0
2021-04-29,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.054999999701976776,0.0,0.2,0.0
2021-04-30,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.009999999776482582,0.0,0.0,0.0,0.0
2021-05-01,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,1.079999923706055,0.0,0.0,0.0,0.0
2021-05-02,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-03,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.30000000000000004
2021-05-04,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-05,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-06,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-07,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-08,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.119999997317791,0.0,0.0,0.0,0.0
2021-05-09,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-10,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-11,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-12,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0299999974668026,0.0,0.0,0.0,0.0
2021-05-13,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-14,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,3.359999895095825,0.0,0.0,0.0,0.0
2021-05-15,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.14499999582767487,0.0,0.0,0.0,0.0
2021-05-16,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-17,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-18,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-19,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-20,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-21,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.07500000298023224,0.0,0.0,0.0
2021-05-22,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.1
2021-05-23,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.019999999552965164,0.0,0.0,0.0,0.0
2021-05-24,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-25,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-26,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-27,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-28,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-29,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-30,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-05-31,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-01,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-02,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,19.584999084472656,0.019999999552965164,0.0,0.0,0.0
2021-06-03,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,3.309999942779541,0.4699999988079071,0.0,0.0,0.0
2021-06-04,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,2.745000123977661,0.0,0.0,0.0
2021-06-05,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.8949999809265137,0.0,0.0,0.0,0.0
2021-06-06,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
2021-06-07,Hermosillo,Heroica Nogales,Ciudad Obregón,0.0,0.0,0.0,0.0,0.0,0.0
